Rank,Sourceid,Title,Type,Issn,SJR Best Quartile,Country,Areas
7160,29696,European Journal of Orthopaedic Surgery and Traumatology,journal,"14321068, 16338065",Q2,Germany,Medicine
7161,21875,Experimental Parasitology,journal,"00144894, 10902449",Q2,United States,Immunology and Microbiology; Medicine
7162,22610,Facies,journal,"01729179, 16124820",Q2,Germany,Earth and Planetary Sciences
7163,29517,International Review of Hydrobiology,journal,"15222632, 14342944",Q2,Germany,Agricultural and Biological Sciences
7164,27214,Journal of Applied Clinical Medical Physics,journal,15269914,Q1,United States,Medicine; Physics and Astronomy
7165,23880,Journal of Interventional Cardiology,journal,"08964327, 15408183",Q2,United Kingdom,Medicine
7166,29629,Journal of Morphology,journal,"03622525, 10974687",Q1,United States,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
7167,23023,New Forests,journal,"01694286, 15735095",Q1,Netherlands,Agricultural and Biological Sciences
7168,21100777475,"ACM SIGGRAPH 2016 Courses, SIGGRAPH 2016",conference and proceedings,-,-,United States,Computer Science
7169,28533,American Journal of Alzheimer's Disease and other Dementias,journal,15333175,Q2,United States,Medicine; Neuroscience; Psychology
7170,4700151704,Asian Population Studies,journal,"17441730, 17441749",Q1,United Kingdom,Social Sciences
7171,5700161712,City and Community,journal,15356841,Q1,United Kingdom,Social Sciences
7172,23952,Cooperation and Conflict,journal,"00108367, 14603691",Q1,United Kingdom,"Business, Management and Accounting; Social Sciences"
7173,19180,Journal of Applied Genetics,journal,"12341983, 21903883",Q2,Germany,"Biochemistry, Genetics and Molecular Biology; Medicine"
7174,4700151706,Journal of Gastrointestinal and Liver Diseases,journal,18418724,Q2,Romania,Medicine
7175,21100803393,Journal of Palaeogeography,journal,20953836,Q1,Netherlands,Earth and Planetary Sciences; Social Sciences
7176,14901,Journal of Thermal Biology,journal,"18790992, 03064565",Q1,United Kingdom,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
7177,17613,Physics and Chemistry of Minerals,journal,"14322021, 03421791",Q2,Germany,Earth and Planetary Sciences; Materials Science
7178,60195,Plant Disease,journal,01912917,Q1,United States,Agricultural and Biological Sciences
7179,24273,Signs,journal,"15456943, 00979740",Q1,United States,Arts and Humanities; Social Sciences
7180,19900193674,Applied Ontology,journal,"18758533, 15705838",Q1,Netherlands,Computer Science; Social Sciences
7181,6400153120,Chinese Medicine,journal,17498546,Q1,United Kingdom,"Medicine; Pharmacology, Toxicology and Pharmaceutics"
7182,18024,European Journal of Plant Pathology,journal,"09291873, 15738469",Q1,Netherlands,Agricultural and Biological Sciences
7183,4700152490,International journal of computer assisted radiology and surgery,journal,"18616410, 18616429",Q1,Germany,Computer Science; Engineering; Medicine
7184,82406,Korean journal of ophthalmology : KJO,journal,10118942,Q2,South Korea,Medicine
7185,23108,Language and Speech,journal,"00238309, 17566053",Q1,United States,Health Professions; Medicine; Social Sciences
7186,4700151602,Palaeoworld,journal,1871174X,Q2,Netherlands,Agricultural and Biological Sciences; Earth and Planetary Sciences
7187,21100777459,Proceedings - International Conference on Distributed Computing Systems,conference and proceedings,-,-,United States,Energy; Engineering
7188,21100784717,Quantitative Imaging in Medicine and Surgery,journal,"22234292, 22234306",Q2,China,Medicine
7189,13803,Signal Processing: Image Communication,journal,09235965,Q1,Netherlands,Computer Science; Engineering
7190,21100818505,Theory of Computing,journal,15572862,Q2,United States,Computer Science; Mathematics
7191,23729,Total Quality Management and Business Excellence,journal,"14783363, 14783371",Q1,United Kingdom,"Business, Management and Accounting"
7192,24584,Zoologischer Anzeiger,journal,00445231,Q1,Germany,Agricultural and Biological Sciences
7193,21100782847,"2015 IEEE 82nd Vehicular Technology Conference, VTC Fall 2015 - Proceedings",conference and proceedings,-,-,United States,Computer Science
7194,26761,Advances in Experimental Medicine and Biology,journal,00652598,Q2,United States,"Biochemistry, Genetics and Molecular Biology; Medicine"
7195,24573,Aequationes Mathematicae,journal,"00019054, 14208903",Q2,Switzerland,Mathematics
7196,21100293900,Biosensors,journal,20796374,Q2,Switzerland,"Biochemistry, Genetics and Molecular Biology; Medicine"
7197,22031,Canadian Journal of Earth Sciences,journal,"14803313, 00084077",Q1,Canada,Earth and Planetary Sciences
7198,19700190344,Early Years,journal,"14724421, 09575146",Q2,United States,Psychology; Social Sciences
7199,144961,European Journal of Innovation Management,journal,14601060,Q2,United Kingdom,"Business, Management and Accounting"
7200,19900191908,Innovations in Clinical Neuroscience,journal,"21588341, 21588333",Q2,United States,Medicine
7201,5700167235,International Journal of Consumer Studies,journal,"14706423, 14706431",Q2,United Kingdom,"Business, Management and Accounting; Economics, Econometrics and Finance; Medicine; Psychology"
7202,23479,Journal of Physiology and Pharmacology,journal,"08675910, 18991505",Q2,Poland,"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
7203,25915,"Journal of Polymer Science, Part B: Polymer Physics",journal,"08876266, 10990488",Q1,United States,Chemistry; Materials Science; Physics and Astronomy
7204,12833,Journal of Psychoeducational Assessment,journal,"15575144, 07342829",Q2,United States,Psychology; Social Sciences
7205,19700177307,Parkinson's Disease,journal,"20420080, 20908083",Q2,Egypt,Medicine; Neuroscience
7206,19400158571,Race and Social Problems,journal,"18671748, 18671756",Q1,Germany,Social Sciences
7207,21100869482,Research in Mathematical Sciences,journal,"21979847, 25220144",Q2,Switzerland,Mathematics
7208,4000149605,Advances in Difference Equations,journal,"16871839, 16871847",Q2,United States,Mathematics
7209,21100886380,Bioengineering,journal,23065354,Q2,Switzerland,Chemical Engineering
7210,24304,Computer Supported Cooperative Work,journal,"09259724, 15737551",Q1,Netherlands,Computer Science
7211,23971,Critical Asian Studies,journal,"14672715, 14726033",Q1,United Kingdom,Social Sciences
7212,23134,European Journal of Women's Studies,journal,"13505068, 14617420",Q1,United Kingdom,Arts and Humanities; Social Sciences
7213,21100853546,Global Qualitative Nursing Research,journal,23333936,Q1,United States,Nursing
7214,24360,Journal of Intelligent and Robotic Systems: Theory and Applications,journal,"15730409, 09210296",Q1,Netherlands,Computer Science; Engineering
7215,15656,Journal of Plant Nutrition and Soil Science,journal,"15222624, 14368730",Q2,Germany,Agricultural and Biological Sciences
7216,4000149603,Political Studies Review,journal,"14789299, 14789302",Q1,United Kingdom,Social Sciences
7217,21100854829,"Tropical Diseases, Travel Medicine and Vaccines",journal,20550936,Q2,United Kingdom,Medicine
7218,21100299422,Water Resources and Rural Development,journal,22126082,Q1,Netherlands,Environmental Science; Social Sciences
7219,19700183047,ACM Transactions on Computing Education,journal,19466226,Q1,United States,Computer Science; Social Sciences
7220,21100830164,Business and Human Rights Journal,journal,"20570198, 20570201",Q1,United Kingdom,"Business, Management and Accounting; Social Sciences"
7221,14836,Canadian Journal of Neurological Sciences,journal,"03171671, 20570155",Q2,United Kingdom,Medicine; Neuroscience
7222,21100887623,Comprehensive Results in Social Psychology,journal,23743611,Q2,United Kingdom,Psychology
7223,23154,Current Treatment Options in Cardiovascular Medicine,journal,"15343189, 10928464",Q2,United States,Medicine
7224,21100466229,Environment and Society: Advances in Research,journal,"21506779, 21506787",Q1,United States,Environmental Science; Social Sciences
7225,15518,Epileptic Disorders,journal,"19506945, 12949361",Q2,United States,Medicine; Neuroscience
7226,21930,Fish Physiology and Biochemistry,journal,"09201742, 15735168",Q2,Netherlands,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine"
7227,27707,Heart and Lung: Journal of Acute and Critical Care,journal,"01479563, 15273288",Q2,United States,Medicine
7228,16186,International Journal of Social Psychiatry,journal,"00207640, 17412854",Q2,United Kingdom,Medicine
7229,21100217634,Journal of Empirical Legal Studies,journal,"17401453, 17401461",Q1,United Kingdom,Social Sciences
7230,21100938252,Journal of Women and Gender in Higher Education,journal,"26379112, 26379120",Q1,United States,Social Sciences
7231,14030,Psychology in the Schools,journal,"00333085, 15206807",Q2,United States,Psychology; Social Sciences
7232,29890,Strength and Conditioning Journal,journal,"15334295, 15241602",Q2,United States,Health Professions; Medicine
7233,15773,ACM Transactions on Internet Technology,journal,"15576051, 15335399",Q1,United States,Computer Science
7234,19958,Archives of Pharmacal Research,journal,"19763786, 02536269",Q2,South Korea,"Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
7235,19900192615,Cyberpsychology,journal,18027962,Q1,Czech Republic,Computer Science; Medicine; Psychology; Social Sciences
7236,21100868821,Frontiers in Robotics and AI,journal,22969144,Q2,Switzerland,Computer Science
7237,21100842867,HardwareX,journal,24680672,Q1,United Kingdom,Engineering; Physics and Astronomy
7238,19600166324,International Journal of Early Childhood,journal,"18784658, 00207187",Q2,Netherlands,Psychology; Social Sciences
7239,29803,Research Quarterly for Exercise and Sport,journal,"02701367, 03649857",Q2,United Kingdom,Health Professions; Medicine
7240,16597,CardioVascular and Interventional Radiology,journal,01741551,Q2,Germany,Medicine
7241,21100821159,Climate Change Economics,journal,"20100086, 20100078",Q2,Singapore,"Economics, Econometrics and Finance; Environmental Science"
7242,31003,Conference Proceedings - IEEE Applied Power Electronics Conference and Exposition - APEC,conference and proceedings,-,-,United States,Engineering
7243,25277,Contemporary Drug Problems,journal,00914509,Q1,United States,Medicine; Social Sciences
7244,22982,Journal of Cardiovascular Pharmacology and Therapeutics,journal,"10742484, 19404034",Q2,United Kingdom,"Medicine; Pharmacology, Toxicology and Pharmaceutics"
7245,29721,Journal of Hydrology and Hydromechanics,journal,"13384333, 0042790X",Q1,Germany,Chemical Engineering; Engineering; Environmental Science
7246,5400152708,Laser Physics Letters,journal,"1612202X, 16122011",Q1,United Kingdom,Physics and Astronomy
7247,130075,Plasma Processes and Polymers,journal,"16128869, 16128850",Q1,Germany,Materials Science; Physics and Astronomy
7248,19900192517,Revista Espanola de Derecho Constitucional,journal,"02115743, 19890648",Q1,Spain,Social Sciences
7249,18886,Sexuality and Disability,journal,"15736717, 01461044",Q2,United States,Health Professions; Medicine
7250,28875,ACM Transactions on Information and System Security,journal,"10949224, 15577406",Q1,United States,Computer Science; Engineering
7251,19700175119,Asian Journal of Pharmaceutical Sciences,journal,"18180876, 2221285X",Q1,China,"Pharmacology, Toxicology and Pharmaceutics"
7252,24765,Canadian Journal of Zoology,journal,"00084301, 14803283",Q1,Canada,Agricultural and Biological Sciences
7253,26401,Electronic Journal of Qualitative Theory of Differential Equations,journal,14173875,Q2,Hungary,Mathematics
7254,14500154701,Food Analytical Methods,journal,"1936976X, 19369751",Q1,United States,Agricultural and Biological Sciences; Chemistry; Engineering; Immunology and Microbiology; Social Sciences
7255,15092,Food and Agricultural Immunology,journal,"14653443, 09540105",Q1,United Kingdom,Agricultural and Biological Sciences; Immunology and Microbiology
7256,26349,Geologica Carpathica,journal,"13368052, 13350552",Q2,Slovakia,Earth and Planetary Sciences
7257,12100156320,"Mind, Brain, and Education",journal,"17512271, 1751228X",Q2,United Kingdom,Neuroscience; Psychology; Social Sciences
7258,21100932754,Obesity Science and Practice,journal,20552238,Q2,United States,Medicine; Nursing
7259,19700176021,Oncology Letters,journal,"17921082, 17921074",Q3,Greece,"Biochemistry, Genetics and Molecular Biology; Medicine"
7260,15115,Seminars in Ophthalmology,journal,"08820538, 17445205",Q2,United Kingdom,Medicine
7261,145212,Sociological Research Online,journal,13607804,Q1,United Kingdom,Social Sciences
7262,12489,Vacuum,journal,"0042207X, 18792715",Q1,United Kingdom,Materials Science; Physics and Astronomy
7263,21100907392,Visual Informatics,journal,"25432656, 2468502X",Q2,Netherlands,Computer Science
7264,51013,Acta Biochimica et Biophysica Sinica,journal,"17457270, 16729145",Q2,United Kingdom,"Biochemistry, Genetics and Molecular Biology; Medicine"
7265,23755,Acta Odontologica Scandinavica,journal,"00016357, 15023850",Q1,United Kingdom,Dentistry; Medicine
7266,27472,Annals of Anatomy,journal,09409602,Q2,Germany,"Biochemistry, Genetics and Molecular Biology; Medicine"
7267,21100811517,Birth Defects Research,journal,24721727,Q2,United Kingdom,"Biochemistry, Genetics and Molecular Biology; Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
7268,21100854907,Borderline Personality Disorder and Emotion Dysregulation,journal,20516673,Q2,United Kingdom,Medicine; Neuroscience; Psychology
7269,31473,Conference on Human Factors in Computing Systems - Proceedings,conference and proceedings,-,-,United States,Computer Science
7270,4800156305,Crop Breeding and Applied Biotechnology,journal,15187853,Q1,Brazil,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
7271,5700165201,Diabetes and Metabolic Syndrome: Clinical Research and Reviews,journal,"18780334, 18714021",Q2,Netherlands,Medicine
7272,21100798718,Frontiers in Public Health,journal,22962565,Q2,Switzerland,Medicine
7273,21100220486,Journal of Pharmaceutical Investigation,journal,"20935552, 20936214",Q1,Netherlands,"Pharmacology, Toxicology and Pharmaceutics"
7274,21185,Journal of Reinforced Plastics and Composites,journal,"07316844, 15307964",Q1,United Kingdom,Engineering; Materials Science
7275,13936,Journal of Urban Affairs,journal,"07352166, 14679906",Q1,United Kingdom,Social Sciences
7276,18329,Journal of Wildlife Diseases,journal,"19433700, 00903558",Q2,United States,Agricultural and Biological Sciences; Environmental Science
7277,145422,Natural Resources Research,journal,15207439,Q2,United States,Environmental Science
7278,110544,"Proceedings - ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing",conference and proceedings,07367791,-,United States,Computer Science; Engineering
7279,21100817648,Race and Justice,journal,21533687,Q1,United States,Social Sciences
7280,21100227406,"Sustainability Accounting, Management and Policy Journal",journal,"20408021, 2040803X",Q1,United Kingdom,"Business, Management and Accounting; Energy"
7281,27029,Applied Physics B: Lasers and Optics,journal,09462171,Q2,Germany,Physics and Astronomy
7282,24664,Foreign Affairs,journal,00157120,Q1,United States,Social Sciences
7283,19500157034,Funkcialaj Ekvacioj,journal,05328721,Q2,Japan,Mathematics
7284,38284,Grass and Forage Science,journal,"13652494, 01425242",Q1,United Kingdom,Agricultural and Biological Sciences; Environmental Science
7285,12676,International Journal of Food Sciences and Nutrition,journal,"09637486, 14653478",Q2,United Kingdom,Agricultural and Biological Sciences
7286,15465,Pacific Basin Finance Journal,journal,0927538X,Q2,Netherlands,"Economics, Econometrics and Finance"
7287,19700174712,SAE International Journal of Fuels and Lubricants,journal,"19463960, 19463952",Q2,United States,Energy; Environmental Science
7288,21945,Substance Use and Misuse,journal,"10826084, 15322491",Q2,United Kingdom,Medicine; Social Sciences
7289,13831,Chinese Journal of Aeronautics,journal,10009361,Q1,China,Engineering
7290,21100889860,Design Science,journal,20534701,Q1,United Kingdom,Arts and Humanities; Engineering; Mathematics
7291,145630,Diabetes Spectrum,journal,10409165,Q2,United States,Medicine
7292,12320,"Journal of the Optical Society of America A: Optics and Image Science, and Vision",journal,"15208532, 10847529",Q2,United States,Computer Science; Materials Science; Medicine; Physics and Astronomy
7293,17942,Neurological Sciences,journal,"15901874, 15903478",Q2,Italy,Medicine
7294,28374,Oceanologia,journal,00783234,Q1,Poland,Agricultural and Biological Sciences; Earth and Planetary Sciences; Engineering
7295,14500154733,Operational Research,journal,"11092858, 18661505",Q2,Germany,"Business, Management and Accounting; Computer Science; Decision Sciences; Mathematics"
7296,12493,Acta Oecologica,journal,1146609X,Q2,Netherlands,Agricultural and Biological Sciences; Environmental Science
7297,19105,Agricultural and Forest Entomology,journal,"14619555, 14619563",Q1,United Kingdom,Agricultural and Biological Sciences
7298,78414,Asian-Australasian Journal of Animal Sciences,journal,"19765517, 10112367",Q1,South Korea,Agricultural and Biological Sciences
7299,24660,Bulletin of the American Mathematical Society,journal,"02730979, 10889485",Q2,United States,Mathematics
7300,12921,European Journal of Lipid Science and Technology,journal,"14389312, 14387697",Q1,Germany,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemistry; Engineering"
7301,14138,Journal of Ambulatory Care Management,journal,"15503267, 01489917",Q2,United States,Medicine
7302,19600166304,Journal of Community Genetics,journal,"1868310X, 18686001",Q2,Germany,Medicine
7303,12813,Journal of Information Science,journal,"01655515, 17416485",Q1,United Kingdom,Computer Science; Social Sciences
7304,145253,Journal of Linguistics,journal,"14697742, 00222267",Q1,United Kingdom,Arts and Humanities; Social Sciences
7305,18300,Journal of Small Animal Practice,journal,"00224510, 17485827",Q2,United States,Veterinary
7306,21100239235,Natural Gas Geoscience,journal,16721926,Q2,China,Earth and Planetary Sciences
7307,16912,Quarterly Journal of Engineering Geology and Hydrogeology,journal,14709236,Q1,United Kingdom,Earth and Planetary Sciences
7308,12964,Review of Quantitative Finance and Accounting,journal,"0924865X, 15737179",Q1,United States,"Business, Management and Accounting; Economics, Econometrics and Finance"
7309,21100329895,Behavioral Sciences of Terrorism and Political Aggression,journal,"19434480, 19434472",Q1,United States,Psychology; Social Sciences
7310,21100287113,ChemistryOpen,journal,21911363,Q2,United States,Chemistry
7311,145007,Clinical EEG and Neuroscience,journal,15500594,Q2,United States,Medicine; Neuroscience
7312,28888,Computer Law and Security Review,journal,02673649,Q1,United Kingdom,"Business, Management and Accounting; Computer Science; Social Sciences"
7313,21489,Ethology,journal,"14390310, 01791613",Q1,United Kingdom,Agricultural and Biological Sciences
7314,13741,International Journal of Pediatric Otorhinolaryngology,journal,"01655876, 18728464",Q2,Ireland,Medicine
7315,21100870602,Journal of Sustainable Finance and Investment,journal,"20430809, 20430795",Q1,United Kingdom,"Business, Management and Accounting; Economics, Econometrics and Finance"
7316,145516,"Language, Culture and Curriculum",journal,07908318,Q1,United Kingdom,Social Sciences
7317,15386,Online Information Review,journal,"14684527, 14684535",Q1,United Kingdom,Computer Science; Social Sciences
7318,27009,Oxidation of Metals,journal,"0030770X, 15734889",Q1,United States,Chemistry; Materials Science
7319,12000154479,Phytopathologia Mediterranea,journal,"00319465, 15932095",Q1,Italy,Agricultural and Biological Sciences
7320,16067,Reading Teacher,journal,00340561,Q1,United States,"Medicine; Pharmacology, Toxicology and Pharmaceutics; Social Sciences"
7321,24505,Wildlife Society Bulletin,journal,00917648,Q2,United States,Environmental Science
7322,15214,American Journal of Orthopedics,journal,"10784519, 19343418",Q2,United States,Medicine
7323,17657,Archives of Animal Nutrition,journal,"14772817, 1745039X",Q1,United Kingdom,Agricultural and Biological Sciences; Medicine; Veterinary
7324,11300153402,Biomarkers in Medicine,journal,"17520363, 17520371",Q2,United Kingdom,"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
7325,21100468873,DIS 2016 - Proceedings of the 2016 ACM Conference on Designing Interactive Systems: Fuse,conference and proceedings,-,-,United States,Mathematics
7326,24358,Journal of Heuristics,journal,"13811231, 15729397",Q2,Netherlands,Computer Science; Decision Sciences; Mathematics
7327,24594,Mathematical Methods in the Applied Sciences,journal,"10991476, 01704214",Q1,United Kingdom,Engineering; Mathematics
7328,22964,Quintessence International,journal,"19367163, 00336572",Q1,United States,Dentistry; Medicine
7329,15320,Teaching of Psychology,journal,"00986283, 15328023",Q2,United States,Psychology; Social Sciences
7330,19700201408,Ars Mathematica Contemporanea,journal,"18553974, 18553966",Q2,Slovenia,Mathematics
7331,19700174902,"Clinical, Cosmetic and Investigational Dermatology",journal,11787015,Q2,New Zealand,Medicine
7332,21100854011,Clinical Diabetes and Endocrinology,journal,20558260,Q3,United Kingdom,Medicine
7333,5600153399,Communication Studies,journal,"17451035, 10510974",Q1,United Kingdom,Social Sciences
7334,19700182338,Current Gerontology and Geriatrics Research,journal,"16877063, 16877071",Q2,United States,Medicine
7335,17401,Current Protein and Peptide Science,journal,"13892037, 18755550",Q2,United Arab Emirates,"Biochemistry, Genetics and Molecular Biology; Medicine"
7336,20851,Environment,journal,"19399154, 00139157",Q2,United States,Energy; Environmental Science
7337,18077,Fitoterapia,journal,"0367326X, 18736971",Q2,Netherlands,"Medicine; Pharmacology, Toxicology and Pharmaceutics"
7338,21100832225,Geo: Geography and Environment,journal,20544049,Q1,United Kingdom,Earth and Planetary Sciences; Environmental Science; Social Sciences
7339,21100860118,Hydrology,journal,23065338,Q2,Switzerland,Earth and Planetary Sciences; Environmental Science
7340,21100446523,International Journal of Mentoring and Coaching in Education,journal,"20466862, 20466854",Q2,United Kingdom,Social Sciences
7341,26157,Journal of Bone and Mineral Metabolism,journal,"09148779, 14355604",Q2,Japan,"Biochemistry, Genetics and Molecular Biology; Medicine"
7342,20617,Journal of Food Science and Technology,journal,"00221155, 09758402",Q2,India,Agricultural and Biological Sciences
7343,19700194010,MedChemComm,journal,"20402503, 20402511",Q1,United Kingdom,"Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
7344,21100939600,Underground Space (China),journal,"20962754, 24679674",Q1,China,Earth and Planetary Sciences; Engineering
7345,21100324708,AJOB Empirical Bioethics,journal,"23294523, 23294515",Q1,United Kingdom,Arts and Humanities; Medicine; Social Sciences
7346,12111,Behavioral Medicine,journal,"19404026, 08964289",Q2,United States,Medicine; Psychology
7347,21100808899,Biodiversity Data Journal,journal,13142828,Q2,Bulgaria,Agricultural and Biological Sciences; Environmental Science
7348,26789,CCAMLR Science,journal,10234063,Q2,Australia,Agricultural and Biological Sciences
7349,25609,International Dental Journal,journal,"00206539, 1875595X",Q1,Netherlands,Dentistry
7350,5800170866,Irish Political Studies,journal,07907184,Q1,United Kingdom,Social Sciences
7351,57810,Journal of Cultural Heritage,journal,12962074,Q1,France,"Arts and Humanities; Chemistry; Computer Science; Economics, Econometrics and Finance; Materials Science; Social Sciences"
7352,21100210920,Journal of Electronic Commerce Research,journal,"19389027, 15266133",Q1,United States,"Computer Science; Economics, Econometrics and Finance"
7353,16723,Journal of Intellectual and Developmental Disability,journal,"13668250, 14699532",Q1,United Kingdom,Arts and Humanities; Medicine; Psychology; Social Sciences
7354,79889,Journal of Sea Research,journal,13851101,Q2,Netherlands,Agricultural and Biological Sciences; Earth and Planetary Sciences
7355,26675,Materials Science in Semiconductor Processing,journal,13698001,Q1,United Kingdom,Engineering; Materials Science; Physics and Astronomy
7356,21100405051,Methods and Applications in Fluorescence,journal,20506120,Q1,United Kingdom,Chemistry; Materials Science; Physics and Astronomy
7357,19700201636,Soil Research,journal,"18386768, 1838675X",Q2,Australia,Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science
7358,21378,Viral Immunology,journal,"15578976, 08828245",Q3,United States,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
7359,15012,Acta Informatica,journal,"14320525, 00015903",Q2,Germany,Computer Science
7360,29427,Aquaculture Research,journal,"13652109, 1355557X",Q2,United Kingdom,Agricultural and Biological Sciences
7361,19900191701,Azania,journal,"0067270X, 19455534",Q1,United Kingdom,Arts and Humanities; Social Sciences
7362,21100785528,BioResearch Open Access,journal,21647860,Q2,United States,"Biochemistry, Genetics and Molecular Biology"
7363,21487,Environmental Biology of Fishes,journal,"03781909, 15735133",Q2,Netherlands,Agricultural and Biological Sciences
7364,21100873338,Environmental Technology Reviews,journal,"21622523, 21622515",Q2,United Kingdom,Environmental Science
7365,25993,IEEE Aerospace and Electronic Systems Magazine,journal,08858985,Q1,United States,Earth and Planetary Sciences; Engineering
7366,18519,Journal of Asthma,journal,"15324303, 02770903",Q2,United States,Medicine
7367,11900154330,Journal of Biological Research,journal,"1790045X, 22415793",Q1,Greece,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
7368,28564,Journal of Physics and Chemistry of Solids,journal,00223697,Q2,United Kingdom,Chemistry; Materials Science; Physics and Astronomy
7369,144696,Journal of Plant Biology,journal,12269239,Q2,United States,Agricultural and Biological Sciences
7370,23559,Journal of Statistical Computation and Simulation,journal,"15635163, 00949655",Q2,United Kingdom,Decision Sciences; Mathematics
7371,12167,Marine Ecology,journal,"01739565, 14390485",Q2,United Kingdom,Agricultural and Biological Sciences; Environmental Science
7372,14623,"Rivista, Italiana di Paleontologiia e Stratigrafia",journal,00356883,Q2,Italy,Earth and Planetary Sciences
7373,12915,Space Policy,journal,"02659646, 1879338X",Q1,United Kingdom,"Earth and Planetary Sciences; Economics, Econometrics and Finance; Social Sciences"
7374,21100788797,Surfaces and Interfaces,journal,24680230,Q1,Netherlands,Chemistry; Materials Science; Physics and Astronomy
7375,24335,Australian Dental Journal,journal,"18347819, 00450421",Q1,United States,Dentistry
7376,19700190315,Beilstein Journal of Nanotechnology,journal,21904286,Q1,Germany,Engineering; Materials Science; Physics and Astronomy
7377,21100901136,Bio-Design and Manufacturing,journal,"25228552, 20965524",Q1,Singapore,"Biochemistry, Genetics and Molecular Biology; Engineering; Materials Science"
7378,14193,Education Policy Analysis Archives,journal,10682341,Q2,United States,Social Sciences
7379,18186,Engineering with Computers,journal,"14355663, 01770667",Q1,United Kingdom,Computer Science; Engineering; Mathematics
7380,20311,Environmental Entomology,journal,"0046225X, 19382936",Q2,United States,Agricultural and Biological Sciences; Environmental Science
7381,21100886224,Humanities and Social Sciences Reviews (discontinued),journal,23956518,Q1,India,Arts and Humanities; Social Sciences
7382,19700201639,International Journal of Rheumatology,journal,"16879260, 16879279",Q2,United States,Immunology and Microbiology; Medicine
7383,23841,Journal of Approximation Theory,journal,"10960430, 00219045",Q2,United States,Mathematics
7384,21100201769,Journal of Communication Management,journal,1363254X,Q1,United Kingdom,"Business, Management and Accounting; Social Sciences"
7385,11700154377,Journal of Individual Differences,journal,"21512299, 16140001",Q2,United States,Neuroscience; Psychology
7386,5700185131,Journal of Management Education,journal,"10525629, 15526658",Q1,United States,"Business, Management and Accounting; Social Sciences"
7387,58705,"Psychology, Health and Medicine",journal,"13548506, 14653966",Q2,United Kingdom,Medicine; Psychology
7388,21100258636,Research and Reports in Urology,journal,22532447,Q2,New Zealand,Medicine
7389,19700186880,Wiley Interdisciplinary Reviews: Computational Statistics,journal,"19395108, 19390068",Q2,United States,Mathematics
7390,6700153281,Asian Journal of Mathematics,book series,10936106,Q2,United States,Mathematics
7391,12547,Australian and New Zealand Journal of Obstetrics and Gynaecology,journal,"1479828X, 00048666",Q2,United States,Medicine
7392,24622,Biofouling,journal,"10292454, 08927014",Q2,United Kingdom,Agricultural and Biological Sciences; Environmental Science; Immunology and Microbiology
7393,21100869486,Computational Visual Media,journal,"20960662, 20960433",Q2,China,Computer Science
7394,24303,Computer Standards and Interfaces,journal,09205489,Q1,Netherlands,Computer Science; Social Sciences
7395,16675,Journal of Clinical Neurophysiology,journal,"15371603, 07360258",Q2,United States,"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
7396,10300153357,Journal of Digestive Diseases,journal,"17512972, 17512980",Q2,Australia,Medicine
7397,19700175131,Journal of Evidence-Based Medicine,journal,"17565391, 17565383",Q2,United Kingdom,Medicine
7398,15938,Journal of Intensive Care Medicine,journal,"15251489, 08850666",Q2,United States,Medicine
7399,30085,Journal of Social and Clinical Psychology,journal,07367236,Q2,United States,Psychology
7400,12739,New Directions for Child and Adolescent Development,journal,"15348687, 15203247",Q2,United States,Medicine; Psychology
7401,21801,Redox Report,journal,"17432928, 13510002",Q2,United Kingdom,"Biochemistry, Genetics and Molecular Biology; Medicine"
7402,21100780886,"2016 IEEE 17th Workshop on Control and Modeling for Power Electronics, COMPEL 2016",conference and proceedings,-,-,United States,Engineering; Physics and Astronomy
7403,12599,Breast Journal,journal,"1075122X, 15244741",Q2,United Kingdom,Medicine
7404,21100399701,Clinical obesity,journal,"17588103, 17588111",Q3,United Kingdom,Medicine
7405,19900194800,Female Pelvic Medicine and Reconstructive Surgery,journal,"21544212, 21518378",Q2,United States,Medicine
7406,21100898636,Foods,journal,23048158,Q2,Switzerland,Agricultural and Biological Sciences; Health Professions; Immunology and Microbiology; Social Sciences
7407,31436,Hepatobiliary and Pancreatic Diseases International,journal,14993872,Q2,Singapore,Medicine
7408,21100358314,Human-centric Computing and Information Sciences,journal,21921962,Q1,South Korea,Computer Science
